Date,DoY,Observed_LE,Observed_ET,Satellite_ET,Year
2016-01-01,1,41.05074723,1.560585207,1.9985432736575603,2016
2016-02-01,32,39.95984375,1.51911342,1.1602434678934515,2016
2016-03-01,61,22.06012917,0.83863787,0.5952206323854625,2016
2016-04-01,92,49.5245,1.882723392,1.2448668741853908,2016
2016-05-01,122,43.60041667,1.65751344,2.4335516325663775,2016
2016-11-01,306,88.05179444,3.347377018,2.7715035248547792,2016
2016-12-01,336,37.78301667,1.436359162,1.3822660956066102,2016
2017-01-01,1,42.88563333,1.630340237,0.2987886873597745,2017
2017-02-01,32,40.59637708,1.543311871,0.18591498010209762,2017
2017-03-01,60,76.50594667,2.908450068,0.9880307974526659,2017
2017-04-01,91,48.49928479,1.843748811,1.0145937820198014,2017
2017-05-01,121,55.10300833,2.094795965,2.899281762074679,2017
2017-06-01,152,83.54065625,3.175881588,3.238159802276641,2017
2017-07-01,182,102.1269792,3.88245924,2.6507701724767685,2017
2017-10-01,274,104.4521563,3.970853172,4.034696356393397,2017
2017-11-01,305,75.49222083,2.869912267,4.186045867390931,2017
2017-12-01,335,29.16588898,1.108770435,3.5074587212875485,2017
