Date,DoY,Observed_LE,Observed_ET,Satellite_ET
2016-01-01,1,23.74046478,0.902517509,2.5262780080083758
2016-01-02,2,22.98837741,0.873926156,2.504018397303298
2016-01-03,3,32.09655131,1.220182495,2.5443329417612404
2016-01-04,4,28.51678652,1.084094156,2.372420998290181
2016-01-05,5,39.39666436,1.497703592,2.545879560057074
2016-01-06,6,20.18354915,0.767297805,2.5589955621398985
2016-01-07,7,25.66118756,0.975535706,2.466869226191193
2016-01-08,8,26.94625464,1.024388817,2.080128528177738
2016-01-09,9,9.550585871,0.363075072,1.02387341321446
2016-01-10,10,15.0597659,0.572512061,2.196388615993783
2016-01-11,11,29.35936161,1.116125491,2.3577288317028433
2016-01-12,12,31.59922461,1.201276123,2.4203465203754604
2016-01-13,13,20.10134141,0.764172595,2.346205181675032
2016-01-14,14,23.82011204,0.905545379,1.304258211166598
2016-01-15,15,20.8483583,0.792571189,2.27629680885002
2016-01-16,16,25.11308892,0.954699188,0.47466039250139147
2016-01-17,17,26.32217322,1.000663737,2.2244058083742857
2016-01-18,18,27.20827345,1.034349723,2.1740883006714284
2016-01-19,19,28.33719557,1.077266827,2.6436495361849666
2016-01-20,20,7.218671179,0.274425004,0.1227459422807442
2016-01-21,21,25.77966327,0.980039679,1.6142336942721158
2016-01-22,22,21.61686251,0.821786645,1.9116287003271282
2016-01-23,23,14.28680979,0.543127361,1.9758852606173605
2016-01-24,24,12.8254071,0.487570676,2.0610075735021383
2016-01-25,25,14.23009079,0.540971132,2.1182363794650882
2016-01-26,26,34.46585351,1.310253887,2.140058297663927
2016-01-27,27,28.23023658,1.073200674,1.6580185038037598
2016-01-28,28,36.72123578,1.3959945,2.2831251262687147
2016-01-29,29,40.35852869,1.534269827,2.2069600294344127
2016-01-30,30,27.16217556,1.032597266,1.9213674764614552
2016-01-31,31,11.92007733,0.45315366,0.5081673254608177
2016-02-01,32,26.06437885,0.990863426,0.4636941128410399
2016-02-02,33,22.47808559,0.854526902,0.8878670283593237
2016-02-03,34,20.64643793,0.784894984,0.8897051797248423
2016-02-04,35,20.10337826,0.764250028,1.928837166633457
2016-02-05,36,26.45091607,1.005558025,2.637644740752876
2016-02-06,37,29.71320961,1.129577376,2.8524425346404314
2016-02-07,38,34.59473027,1.315153266,3.104449063539505
2016-02-08,39,31.47262803,1.196463427,3.001419233623892
2016-02-09,40,31.86200093,1.211265827,2.1600437932647765
2016-02-10,41,29.71311966,1.129573957,1.6961552726570517
2016-02-11,42,32.80112796,1.246967681,1.6438727849163115
2016-02-12,43,41.00821908,1.558968457,1.7686571110971272
2016-02-13,44,44.05830019,1.67492034,1.8312234082259238
2016-02-14,45,35.36292381,1.344356911,2.3659093596506864
2016-02-15,46,37.99844734,1.444548974,2.2257844218984246
2016-02-16,47,45.8584132,1.743353436,2.1782101539429277
2016-02-17,48,47.40832295,1.802274805,2.618306432850659
2016-02-18,49,43.28740488,1.645613984,1.2089650088455528
2016-02-19,50,43.94843372,1.670743656,1.8894240958616138
2016-02-20,51,38.77739721,1.474161532,1.3532988668885082
2016-02-21,52,51.21730499,1.947077066,1.8095256469678134
2016-02-22,53,59.14545988,2.248473803,4.351129021961242
2016-02-23,54,59.64454262,2.267446932,3.241486579645425
2016-02-24,55,70.70716689,2.688003657,3.4161794814281166
2016-02-25,56,64.38577571,2.447689649,3.4328275127336383
2016-02-26,57,69.54854164,2.643957359,3.7084766663610935
2016-02-27,58,70.33329373,2.673790495,3.771123744081706
2016-02-28,59,68.47697644,2.603220736,3.991525573655963
2016-02-29,60,68.22836861,2.593769661,3.7804656894877553
2016-03-01,61,62.78540212,2.386849847,3.3852031105197966
2016-03-02,62,71.69725176,2.725642723,2.796523820143193
2016-03-03,63,66.18778618,2.516194879,3.015787177719176
2016-03-04,64,16.09408056,0.611832567,2.314326079795137
2016-03-05,65,69.0599286,2.625382246,3.370413661468774
2016-03-06,66,56.01996224,2.129654884,3.174031956586987
2016-03-07,67,63.58512141,2.417251975,2.474159438861534
2016-03-08,68,56.50732642,2.148182521,2.3571812838781625
2016-03-09,69,56.5500641,2.149807237,2.6268787623848766
2016-03-10,70,74.14442635,2.818674512,2.926067600492388
2016-03-11,71,78.6407145,2.989605402,2.4044388730544597
2016-03-12,72,62.75041407,2.385519741,2.0530206675175577
2016-03-13,73,57.6711461,2.19242629,2.0363861520309
2016-03-14,74,76.70913101,2.916174324,2.0133823854848742
2016-03-15,75,88.82264206,3.376681561,4.341499786823988
2016-03-16,76,107.9463991,4.103690307,4.381186002865434
2016-03-17,77,82.84287175,3.149354613,3.357926302123815
2016-03-18,78,73.93991952,2.810899981,3.3410620177164674
2016-03-19,79,37.98446749,1.444017516,2.8976969537325203
2016-03-20,80,71.92787129,2.734409955,2.7712589828297496
2016-03-21,81,58.20457414,2.212705091,1.9597080827225
2016-03-22,82,97.16620161,3.69387032,2.7162860613316298
2016-03-23,83,119.9056251,4.558332243,3.831818886101246
2016-03-24,84,93.85418489,3.567960693,4.205583455041051
2016-03-25,85,106.1023227,4.033585901,4.319969716016203
2016-03-26,86,85.43358231,3.247843065,4.099874978419393
2016-03-27,87,33.63225753,1.278563902,1.4129251590929925
2016-03-28,88,15.80326163,0.600776794,0.6802088872063905
2016-03-29,89,41.41259148,1.574341078,2.228603884577751
2016-03-30,90,109.1619869,4.149902096,2.8907991712912917
2016-03-31,91,101.5570935,3.860794468,2.7246822137385607
2016-04-01,92,35.68496035,1.356599453,2.901525388006121
2016-04-02,93,90.81063743,3.452257193,4.056301235686988
2016-04-03,94,104.1266247,3.958477766,2.74135161889717
2016-04-04,95,98.73485095,3.753504094,1.4162110746838152
