Year,Observed_ET,Satellite_ET,Z_Observed,Z_Product,Site,Product
2016,5.0042260321065575,1.7811931272754904,0.6651198142758228,0.9392450469721786,BFT,ERA5-LAND
2017,2.810133855881119,1.1073968900771407,-1.413398343026121,-1.3852447470606772,BFT,ERA5-LAND
2018,5.092008707553692,1.638216866592833,0.7482785287502985,0.4459997000884986,BFT,ERA5-LAND
2016,4.653987918666666,2.599671425559791,0.17757901850873004,0.6095051032922135,BFT,FLDAS
2017,3.107982943,0.9469123760936782,-1.3038406477415916,-1.4099121088122026,BFT,FLDAS
2018,5.6440301531,2.7559119708894286,1.1262616292328629,0.800407005519989,BFT,FLDAS
2016,5.0042260321065575,2.132148858907415,0.6651198142758228,1.1572487830254765,BFT,GLDAS
2017,2.810133855881119,0.9509515815285862,-1.413398343026121,-1.2825998460845152,BFT,GLDAS
2018,5.092008707553692,1.6325790237892426,0.7482785287502985,0.12535106305903881,BFT,GLDAS
2016,5.0042260321065575,1.9179330095479934,0.6651198142758228,0.7836217772035402,BFT,MERRA2
2017,2.810133855881119,0.07629493890193201,-1.413398343026121,-1.4113464116313867,BFT,MERRA2
2018,5.092008707553692,1.7871310623028918,0.7482785287502985,0.6277246344278463,BFT,MERRA2
2016,4.9282587390869566,12.544629156010231,0.7770182905766685,0.7182379560339762,BFT,MOD16A2GF
2017,2.590697357,2.023823888529771,-1.4118282216677325,-1.4141548441770455,BFT,MOD16A2GF
2018,4.776388442342105,12.434501411900793,0.6348099310910631,0.695916888143069,BFT,MOD16A2GF
2016,4.9282587390869566,1.4484774812235244,0.7770182905766685,0.9759194826499452,BFT,PMLV2
2017,2.590697357,0.6738477120276284,-1.4118282216677325,-1.3743489744151527,BFT,PMLV2
2018,4.776388442342105,1.25814137855098,0.6348099310910631,0.39842949176520714,BFT,PMLV2
2016,1.8703108725190476,1.7864105646454154,-1.0000000000000004,-1.0,BIT,ERA5-LAND
2017,2.8052229184717605,2.036351329984261,0.9999999999999996,1.0,BIT,ERA5-LAND
2016,1.7489013584285715,1.655170785878519,-0.9999999999999997,-0.9999999999999997,BIT,FLDAS
2017,2.5028523654,2.3003740928834304,1.0000000000000002,1.0000000000000004,BIT,FLDAS
2016,1.8703108725190476,2.0680153540160973,-1.0000000000000004,-1.0,BIT,GLDAS
2017,2.8052229184717605,2.813696758801785,0.9999999999999996,1.0,BIT,GLDAS
2016,1.8703108725190476,0.889989749501323,-1.0000000000000004,-1.0,BIT,MERRA2
2017,2.8052229184717605,2.279936177589127,0.9999999999999996,0.9999999999999999,BIT,MERRA2
2016,1.7327454416538461,9.467602307195069,-1.0000000000000002,-1.0000000000000004,BIT,MOD16A2GF
2017,2.737162021263158,14.236061307113937,0.9999999999999998,0.9999999999999997,BIT,MOD16A2GF
2016,1.7327454416538461,2.263557268188648,-1.0000000000000002,-0.999999999999995,BIT,PMLV2
2017,2.737162021263158,2.3522498590521677,0.9999999999999998,1.000000000000005,BIT,PMLV2
2014,1.9956733354411766,2.764540802066525,1.1282789020428972,0.90248665641442,BKC,ERA5-LAND
2015,1.4105477684107746,2.4754547573600956,0.174264259291315,0.4916980147433679,BKC,ERA5-LAND
2016,0.5047778350521871,1.148294482845813,-1.3025431613342124,-1.3941846711577885,BKC,ERA5-LAND
2014,1.9300488863333334,3.44043970835628,0.9541025368517678,1.1389427455267647,BKC,FLDAS
2015,1.5946400334,2.2928741689247545,0.4269765308589423,0.15655002279529304,BKC,FLDAS
2016,0.44417914271840325,0.596694799605757,-1.38107906771071,-1.2954927683220578,BKC,FLDAS
2014,1.9956733354411766,2.3401970017028577,1.1282789020428972,1.0748971372467062,BKC,GLDAS
2015,1.4105477684107746,1.6985382257024122,0.174264259291315,0.2584453365261503,BKC,GLDAS
2016,0.5047778350521871,0.4475340425926788,-1.3025431613342124,-1.3333424737728563,BKC,GLDAS
2014,1.9956733354411766,3.14146708707582,1.1282789020428972,1.0247764012890006,BKC,MERRA2
2015,1.4105477684107746,2.3064879655472006,0.174264259291315,0.3316349006512362,BKC,MERRA2
2016,0.5047778350521871,0.2730166843691513,-1.3025431613342124,-1.3564113019402375,BKC,MERRA2
2014,1.96524998996,6.904578064516129,1.1223496994153042,1.0889834867240356,BKC,MOD16A2GF
2015,1.3805525381052632,4.896983022071308,0.18397504404982695,0.23690842571383558,BKC,MOD16A2GF
2016,0.4519527690500455,1.2148306451612905,-1.306324743465131,-1.3258919124378707,BKC,MOD16A2GF
2014,1.96524998996,2.2031408878504677,1.1223496994153042,0.9650747901528213,BKC,PMLV2
2015,1.3805525381052632,1.844534093703886,0.18397504404982695,0.41271284204090825,BKC,PMLV2
2016,0.4519527690500455,0.6820976927570095,-1.306324743465131,-1.37778763219373,BKC,PMLV2
2014,59.06835805433334,47.5,1.0349807761206773,1.0802573388244108,BKC,SSEBOP_V61
2015,45.82203311377778,37.0,0.31714192307761474,0.2503035297276073,BKC,SSEBOP_V61
2016,15.018989360009362,17.0,-1.3521226991982913,-1.3305608685520187,BKC,SSEBOP_V61
2016,2.2012661909234974,1.945658849012819,-1.0,-1.0,DIT,ERA5-LAND
2017,2.405973796071233,2.059436331771008,1.0,1.0,DIT,ERA5-LAND
2016,2.512118299,1.5925478657663916,0.999999999999987,-1.0,DIT,FLDAS
2017,2.477808534833333,1.6444093347672606,-1.0000000000000129,1.0,DIT,FLDAS
2016,2.2012661909234974,2.3277969797953895,-1.0,-1.0,DIT,GLDAS
2017,2.405973796071233,2.3513194041291556,1.0,1.0,DIT,GLDAS
2016,2.2012661909234974,1.7922913467954247,-1.0,-0.9999999999999921,DIT,MERRA2
2017,2.405973796071233,1.8204191226900694,1.0,1.000000000000008,DIT,MERRA2
2016,2.202096262478261,13.792678305779328,-1.0,-0.9999999999999964,DIT,MOD16A2GF
2017,2.361273230652174,14.288177505824237,1.0,1.0000000000000036,DIT,MOD16A2GF
2016,2.202096262478261,1.7382404806913312,-1.0,-1.0,DIT,PMLV2
2017,2.361273230652174,1.790003915743991,1.0,1.0,DIT,PMLV2
2016,0.9012054368369565,0.7222564789750006,-1.3078929317194816,0.6405741718190942,JIT,ERA5-LAND
2017,0.9255780157132353,0.7424792240592925,0.18804727143173525,0.7716142593587473,JIT,ERA5-LAND
2018,0.9407593242183099,0.4054641475717366,1.1198456602877465,-1.4121884311778417,JIT,ERA5-LAND
2016,0.8869879545,1.1178931412814563,-0.82680566191661,0.8294000196300493,JIT,FLDAS
2017,1.125095435625,1.061663405789659,1.4070296714104835,0.5773038740373801,JIT,FLDAS
2018,0.9132714209999999,0.6191329112061794,-0.5802240094938703,-1.4067038936674294,JIT,FLDAS
2016,0.9012054368369565,0.48732470855789556,-1.3078929317194816,1.018504838080061,JIT,GLDAS
2017,0.9255780157132353,0.40538855874555174,0.18804727143173525,0.34044512779980324,JIT,GLDAS
2018,0.9407593242183099,0.20003512323683023,1.1198456602877465,-1.3589499658798645,JIT,GLDAS
2016,0.9012054368369565,1.2001778916140722,-1.3078929317194816,0.6672938245652245,JIT,MERRA2
2017,0.9255780157132353,1.2202671024986236,0.18804727143173525,0.74618604413835,JIT,MERRA2
2018,0.9407593242183099,0.6703271439321903,1.1198456602877465,-1.4134798687035752,JIT,MERRA2
2016,0.8978954434782608,1.169186046511628,-0.8648564713618292,1.240204829462702,JIT,MOD16A2GF
2017,1.1503458756470588,1.052684678522572,1.401457369896019,-0.031528727133066724,JIT,MOD16A2GF
2018,0.9344606621666666,0.9448481912144704,-0.5366008985341888,-1.2086761023296353,JIT,MOD16A2GF
