Date,DoY,Observed_LE,Observed_ET,Satellite_ET,Year
2014-06-11,162,45.51728261,1.747863428,0.3726603972609155,2014
2014-06-12,163,46.28729167,1.777431772,0.2541184541769326,2014
2014-06-13,164,49.86333333,1.914751755,0.2945748950878624,2014
2014-06-14,165,54.25874792,2.096398932,0.29956345024402253,2014
2014-06-15,166,28.10867563,1.905107756,0.9047211759025231,2014
2014-06-16,167,35.81184063,2.069102935,2.039580442942679,2014
2014-06-17,168,65.12266875,2.234280514,3.09332994511351,2014
2014-06-18,169,63.76729167,2.274550909,2.8490924974903464,2014
2014-06-19,170,61.51702083,2.302031705,3.053339780308306,2014
2014-06-20,171,44.929,2.457836485,3.6356484051793814,2014
2014-06-21,172,54.6036,2.708423653,3.5529969725757837,2014
2014-06-22,173,99.59002083,3.028410012,3.8746417150832713,2014
2014-06-23,174,110.6406042,3.291241179,3.6537005100399256,2014
2014-06-24,175,98.64120833,3.085034805,3.305956721305847,2014
2014-06-25,176,100.9788333,3.568683543,3.201366600114852,2014
2014-06-26,177,91.4573125,3.566141144,2.9842236544936895,2014
2014-06-27,178,78.96840229,3.040998811,2.835536131169647,2014
2014-06-28,179,66.6755625,2.829378038,2.836429118178785,2014
2014-06-29,180,74.57897917,2.96795562,2.9535279725678265,2014
2014-06-30,181,92.44867083,3.841589108,2.5875901628751308,2014
2014-07-01,182,64.10785833,2.97145722,2.2955035732593387,2014
2014-07-02,183,56.11513125,2.084717333,2.502503839787096,2014
2014-07-03,184,67.67639375,3.097166804,2.305102633545175,2014
2014-07-04,185,84.35739583,2.604318867,2.007840113947168,2014
2014-07-05,186,43.09612708,1.915920555,1.266897501773201,2014
2014-07-06,187,89.11798958,2.259734911,2.0133116631768644,2014
2014-07-07,188,80.703025,2.693678055,2.8426900855265558,2014
2014-07-08,189,83.0063625,3.28009718,3.1881713890470564,2014
2014-07-09,190,88.83677708,3.307132377,3.2616273500025272,2014
2014-07-10,191,70.69375208,2.868810833,2.7929062955081463,2014
2014-07-11,192,75.3166625,3.299068378,2.894867747090757,2014
2014-07-12,193,68.85865208,2.555595673,3.039755125064403,2014
2014-07-13,194,81.36176042,3.348795571,3.1133459298871458,2014
2014-07-14,195,72.83098125,3.236663586,2.964687952771783,2014
2014-07-15,196,73.60099375,2.859403634,2.731544163543731,2014
2014-07-16,197,63.35344375,2.395098893,2.3945962137077004,2014
2014-07-17,198,50.33647917,1.786987531,2.6769525138661265,2014
2014-07-18,199,62.774775,2.274658349,1.123262694454752,2014
2014-07-19,200,74.09942708,2.697876535,2.8494278783909976,2014
2014-07-20,201,62.76097917,2.245339073,3.521911532152444,2014
2014-07-21,202,54.70716458,2.056798057,3.2751063932664692,2014
2014-07-22,203,99.34462083,3.66970753,3.690323350019753,2014
2014-07-23,204,88.2264125,3.239069425,4.065908154007047,2014
2014-07-24,205,70.2696,2.793270842,3.6323920357972383,2014
2014-07-25,206,81.63168542,3.159018796,3.138420602772385,2014
2014-07-26,207,64.68108958,2.509021919,2.4955802829936147,2014
2014-07-27,208,62.75409792,2.400661533,3.029467072337866,2014
