Date,DoY,Observed_LE,Observed_ET,Satellite_ET,Year
2016-06-17,169,79.28990426,3.014285,3.2844673842191696,2016
2016-06-18,170,97.94891521,3.723625961,3.4503228962421417,2016
2016-06-19,171,83.05133396,3.157279512,3.592614084482193,2016
2016-06-20,172,68.410028,2.600675624,3.5392027348279953,2016
2016-12-26,361,11.32103087,0.43038031,0.9000524878501892,2016
2016-12-27,362,12.76817542,0.485394957,0.9261015802621841,2016
2016-12-28,363,14.12026538,0.536796008,0.9347889572381973,2016
2016-12-29,364,14.11970271,0.536774618,0.882614403963089,2016
2016-12-30,365,10.06225854,0.382526821,0.8945660665631294,2016
2016-12-31,366,4.436643333,0.168663433,0.821821391582489,2016
2017-01-01,1,10.49569,0.399004151,0.9444653987884521,2017
2017-01-02,2,23.67779313,0.900134983,0.7190564647316933,2017
2017-01-03,3,20.91410125,0.795070473,0.9950166568160057,2017
2017-01-04,4,15.43477348,0.586768349,0.9637977927923203,2017
2017-01-05,5,8.642627958,0.328558144,0.8793901652097702,2017
2017-01-06,6,13.83032292,0.525773556,0.8956175297498703,2017
2017-01-07,7,12.61177771,0.479449341,0.952456146478653,2017
2017-01-08,8,26.81382063,1.019354205,0.5935020744800568,2017
2017-01-09,9,23.20959771,0.882336066,0.8547622710466385,2017
2017-01-10,10,25.23672563,0.959399361,1.0227560997009277,2017
2017-01-11,11,32.65530875,1.241424217,0.9178463369607925,2017
2017-01-12,12,29.74834042,1.130912909,1.025230623781681,2017
2017-01-13,13,35.92533042,1.365737361,1.031564548611641,2017
2017-01-14,14,31.18762313,1.185628681,1.0181916877627373,2017
2017-01-15,15,24.10348229,0.916317983,0.9454488754272461,2017
2017-01-16,16,25.25892875,0.960243435,1.0207593441009521,2017
2017-01-17,17,26.30782438,1.000118251,1.0516215115785599,2017
2017-01-18,18,30.97011521,1.1773599,1.0998770594596863,2017
2017-01-19,19,39.31231438,1.494496943,1.1256160214543343,2017
2017-01-20,20,45.84932378,1.743007893,1.0756030678749084,2017
2017-06-13,164,96.95403448,3.685804575,5.377741530537605,2017
2017-06-14,165,79.96010417,3.03976332,5.230520851910114,2017
2017-06-15,166,78.63510417,2.98939212,3.8088010624051094,2017
2017-06-16,167,72.18285417,2.744103384,3.5153357312083244,2017
2017-06-17,168,79.89216667,3.037180608,4.197225905954838,2017
2017-06-18,169,90.1619375,3.427596216,4.815192893147469,2017
2017-06-19,170,90.69958333,3.44803536,4.473073408007622,2017
2017-06-20,171,100.7018333,3.828280896,3.1047947704792023,2017
2017-06-21,172,108.9853958,4.143188808,2.993934787809849,2017
2017-06-22,173,115.1951042,4.37925708,4.302458837628365,2017
2017-06-23,174,80.85447063,3.073763555,4.001328721642494,2017
2017-06-24,175,101.5462917,3.860383824,4.723564721643925,2017
2017-06-25,176,148.5983438,5.649114636,4.135033115744591,2017
2017-06-26,177,152.8920979,5.812345994,4.624282941222191,2017
2017-06-27,178,129.05075,4.905993312,4.733694717288017,2017
2017-06-28,179,110.7701167,4.211036755,4.419228062033653,2017
2017-06-29,180,109.7959083,4.174001251,4.690893925726414,2017
2017-06-30,181,92.7902875,3.52751557,3.8801804184913635,2017
2017-07-01,182,75.3211375,2.863408363,2.8306208550930023,2017
